lead_time,required_car_parking_spaces,total_of_special_requests,previous_cancellations,previous_bookings_not_canceled,adr,adults,children,babies,deposit_type,market_segment,distribution_channel,customer_type,hotel,arrival_date_year,arrival_date_month,arrival_date_day_of_month,is_canceled
342,0,0,0,0,0.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,1,0
737,0,0,0,0,0.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,1,0
7,0,0,0,0,75.0,1,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,1,0
13,0,0,0,0,75.0,1,0,0,No Deposit,Corporate,Corporate,Transient,Resort Hotel,2015,July,1,0
14,0,1,0,0,98.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,0
14,0,1,0,0,98.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,0
0,0,0,0,0,107.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,1,0
9,0,1,0,0,103.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,1,0
85,0,1,0,0,82.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,1
75,0,0,0,0,105.5,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,1,1
23,0,0,0,0,123.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,1
35,0,0,0,0,145.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,0
68,0,3,0,0,97.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,0
18,0,1,0,0,154.77,2,1,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,0
37,0,0,0,0,94.71,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,0
68,0,3,0,0,97.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,0
37,0,0,0,0,97.5,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,1,0
12,0,0,0,0,88.2,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,0
0,0,0,0,0,107.42,2,0,0,No Deposit,Corporate,Corporate,Transient,Resort Hotel,2015,July,1,0
7,0,1,0,0,153.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,1,0
37,0,1,0,0,97.29,1,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,0
72,0,1,0,0,84.67,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,1,0
72,0,1,0,0,84.67,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,1,0
72,0,1,0,0,99.67,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,1,0
127,0,1,0,0,94.95,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,1,0
78,1,0,0,0,63.6,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,1,0
48,0,0,0,0,79.5,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,1,0
60,0,2,0,0,107.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,1
77,0,0,0,0,94.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,0
99,1,1,0,0,87.3,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,1,0
118,0,2,0,0,62.0,1,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,1,0
95,0,0,0,0,63.86,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,1,0
96,0,2,0,0,108.3,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,1,1
69,0,0,0,0,65.5,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,2,0
45,0,1,0,0,108.8,3,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,1
40,0,1,0,0,108.8,3,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,1
15,0,0,0,0,98.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,0
36,0,1,0,0,108.8,3,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,0
43,0,0,0,0,108.8,3,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,1
70,0,1,0,0,137.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,2,0
45,0,0,0,0,117.81,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,1
45,0,0,0,0,79.5,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,2,0
16,0,0,0,0,123.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,2,0
70,0,1,0,0,137.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,2,0
107,0,2,0,0,110.7,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,0
47,0,0,0,0,153.0,2,2,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,1
96,0,1,0,0,58.95,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient,Resort Hotel,2015,July,2,0
113,0,2,0,0,82.88,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient-Party,Resort Hotel,2015,July,2,0
90,0,0,0,0,82.35,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,2,0
50,0,1,0,0,119.35,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,0
113,0,2,0,0,67.58,2,0,0,No Deposit,Offline TA/TO,TA/TO,Transient-Party,Resort Hotel,2015,July,2,0
93,0,0,0,0,56.01,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,2,0
76,0,0,0,0,110.7,2,0,0,No Deposit,Offline TA/TO,TA/TO,Contract,Resort Hotel,2015,July,2,0
3,1,0,0,0,88.2,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,0
1,1,0,0,0,147.0,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,0
1,1,2,0,0,107.0,2,2,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,2,0
0,0,0,0,0,147.0,2,0,0,No Deposit,Direct,Direct,Transient,Resort Hotel,2015,July,2,0
0,0,2,0,0,117.9,2,0,0,No Deposit,Online TA,TA/TO,Transient,Resort Hotel,2015,July,2,0
